Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,First,Last,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
Aaron Ekblad\ekblaaa01,23,FLA,D,67,5,36,41,12,26,6.2,5,0,0,1,29,6,1,147,3.4,1539,22:59,84,34,0,0,,Aaron,Ekblad,1272,1134,52.9,4.9,962,850,53.1,4.9,10.9,90.0,100.8,48.7,51.3,19:11,37,74,-1.1,265,55.5
Aaron Ness\nessaa01,29,ARI,D,24,0,1,1,1,0,0.6,0,0,0,0,1,0,0,11,0.0,301,12:32,20,17,0,0,,Aaron,Ness,259,272,48.8,0.3,199,207,49.0,1.3,8.8,90.8,99.6,55.6,44.4,12:00,1,8,1.2,27,40.7
Adam Boqvist\boqviad01,19,CHI,D,41,4,9,13,-3,6,2.0,4,0,0,1,7,2,0,50,8.0,665,16:13,43,33,0,0,,Adam,Boqvist,550,584,48.5,0.5,419,458,47.8,1.1,9.2,91.0,100.2,58.4,41.6,13:53,10,26,-2.8,107,46.7
Adam Brooks\brookad01,23,TOR,C,7,0,3,3,1,0,0.2,0,0,0,0,3,0,0,2,0.0,55,7:51,1,0,5,5,50.0,Adam,Brooks,38,43,46.9,-6.6,28,32,46.7,-6.7,15.8,89.5,105.3,45.8,54.2,7:24,2,1,0.3,5,40.0
Adam Erne\ernead01,24,DET,LW,56,2,3,5,-24,28,-1.0,2,0,0,0,3,0,0,63,3.2,662,11:49,25,142,20,13,60.6,Adam,Erne,436,543,44.5,-1.9,330,415,44.3,-2.4,4.8,89.1,93.9,44.9,55.1,10:50,5,27,-2.3,106,59.4
Adam Fox\foxad01,21,NYR,D,70,8,34,42,22,32,7.4,7,1,0,4,22,12,0,125,6.4,1323,18:54,92,35,0,0,,Adam,Fox,1088,1014,51.8,7.5,840,747,52.9,8.1,11.4,91.6,103.0,53.9,46.1,16:44,57,61,7.6,243,51.4
Adam Gaudette\gaudead01,23,VAN,C,59,12,21,33,-7,37,3.0,8,4,0,1,13,8,0,75,16.0,731,12:23,20,29,187,267,41.2,Adam,Gaudette,575,671,46.1,-1.9,430,503,46.1,-2.7,10.3,90.7,101.1,59.6,40.4,10:42,23,15,-8.2,151,49.7
Adam Henrique\henriad01,29,ANA,C,71,26,17,43,-3,22,5.2,21,5,0,1,13,4,0,169,15.4,1198,16:52,32,75,512,419,55.0,Adam,Henrique,988,907,52.1,5.5,744,699,51.6,4.6,9.6,89.3,98.9,50.0,50.0,13:38,26,32,-0.5,281,60.5
Adam Johnson\johnsad01,25,PIT,C,7,1,1,2,-1,2,0.2,1,0,0,0,1,0,0,5,20.0,47,6:42,3,4,0,0,,Adam,Johnson,32,37,46.4,-3.9,25,28,47.2,-3.8,15.8,85.0,100.8,24.0,76.0,6:39,1,1,0.8,6,83.3
Adam Larsson\larssad01,27,EDM,D,49,1,5,6,0,35,1.8,1,0,0,0,5,0,0,61,1.6,972,19:50,82,112,0,0,,Adam,Larsson,766,855,47.3,0.0,587,625,48.4,1.1,8.8,91.8,100.6,44.3,55.7,17:50,16,35,-3.8,127,48.0
Adam Lowry\lowryad01,26,WPG,LW,49,4,6,10,-4,23,0.0,3,0,1,1,5,0,1,68,5.9,733,14:58,22,137,349,300,53.8,Adam,Lowry,499,586,46.0,-3.3,375,453,45.3,-2.8,5.8,93.3,99.2,38.6,61.4,12:30,31,11,-7.2,112,60.7
Adam Pelech\pelecad01,25,NYI,D,38,1,8,9,4,20,2.2,1,0,0,0,6,0,2,49,2.0,803,21:08,83,81,0,0,,Adam,Pelech,563,719,43.9,-3.5,409,510,44.5,-3.2,9.4,91.6,101.1,37.9,62.1,18:09,32,48,-3.7,115,42.6
Adrian Kempe\kempead01,23,LAK,LW,69,11,21,32,-10,29,2.4,7,2,2,2,11,8,2,148,7.4,1105,16:01,17,71,92,131,41.3,Adrian,Kempe,896,726,55.2,2.7,680,553,55.2,3.2,5.1,89.9,95.1,52.5,47.5,12:35,24,27,4.1,262,56.5
Alan Quine\quineal01,26,CGY,C,9,1,0,1,-1,4,0.0,1,0,0,0,0,0,0,12,8.3,88,9:48,2,6,1,0,100.0,Alan,Quine,81,72,52.9,1.8,56,52,51.9,2.2,2.7,94.6,97.3,54.5,45.5,9:47,2,1,-0.2,18,66.7
Aleksander Barkov\barkoal01,24,FLA,C,66,20,42,62,2,18,5.9,13,7,0,2,28,13,1,172,11.6,1321,20:01,35,21,653,550,54.3,Aleksander,Barkov,1024,926,52.5,3.6,791,726,52.1,2.5,9.9,89.8,99.7,57.5,42.5,15:19,51,52,3.2,267,64.4
Aleksi Saarela\saareal01,23,FLA,C,9,2,2,4,2,0,0.5,2,0,0,0,1,1,0,15,13.3,110,12:15,3,1,7,11,38.9,Aleksi,Saarela,91,108,45.7,-0.1,77,77,50.0,6.6,7.7,94.8,102.5,49.0,51.0,11:14,6,3,-1.3,24,62.5
Alex Biega\biegaal01,31,DET,D,49,0,3,3,-9,24,0.9,0,0,0,0,3,0,0,55,0.0,805,16:25,46,115,0,0,,Alex,Biega,561,683,45.1,-0.7,436,534,44.9,-0.1,5.3,93.3,98.6,47.5,52.5,14:25,4,30,-8.0,123,44.7
Alex Chiasson\chiasal01,29,EDM,RW,65,11,13,24,-3,42,2.2,5,6,0,3,6,7,0,97,11.3,853,13:07,15,56,0,4,0.0,Alex,Chiasson,638,636,50.1,2.8,449,471,48.8,0.6,6.8,94.4,101.2,50.9,49.1,10:48,14,20,-0.5,158,61.4
Alex DeBrincat\debrial01,22,CHI,RW,70,18,27,45,-10,15,3.9,8,10,0,4,21,6,0,207,8.7,1225,17:30,19,58,7,13,35.0,Alex,DeBrincat,939,950,49.7,1.3,678,691,49.5,1.7,8.2,91.4,99.5,58.3,41.7,13:55,41,37,-3.1,363,57.0
Alex Goligoski\goligal01,34,ARI,D,70,4,28,32,8,24,6.4,2,2,0,0,19,9,0,101,4.0,1614,23:03,134,91,0,0,,Alex,Goligoski,1217,1300,48.4,0.1,904,961,48.5,0.4,8.7,91.9,100.6,49.1,50.9,18:28,7,53,-2.0,213,47.4
Alex Iafallo\iafalal01,26,LAK,C,70,17,26,43,1,14,4.2,11,6,0,3,23,3,0,142,12.0,1325,18:56,47,49,11,12,47.8,Alex,Iafallo,1000,927,51.9,-1.8,759,706,51.8,-1.3,9.3,90.1,99.4,50.3,49.7,14:59,18,11,-1.3,231,61.5
Alex Killorn\killoal01,30,TBL,C,68,26,23,49,19,20,6.0,18,8,0,7,18,5,0,130,20.0,1219,17:56,15,59,5,14,26.3,Alex,Killorn,840,763,52.4,0.7,620,591,51.2,0.0,12.4,92.6,105.0,48.0,52.0,12:55,27,26,1.2,209,62.2
Alex Ovechkin\ovechal01,34,WSH,LW,68,48,19,67,-12,30,8.7,35,13,0,3,14,5,0,311,15.4,1405,20:40,30,184,1,0,100.0,Alex,Ovechkin,1159,1023,53.1,1.5,844,780,52.0,-0.1,11.2,87.9,99.1,53.6,46.4,15:39,28,48,2.1,561,55.4
Alex Pietrangelo\pietral01,30,STL,D,70,16,36,52,11,20,9.1,10,6,0,3,19,16,1,225,7.1,1693,24:11,89,47,0,0,,Alex,Pietrangelo,1270,1126,53.0,3.9,977,872,52.8,3.9,10.6,89.7,100.3,51.6,48.4,18:56,43,45,4.6,418,53.8
Alex Steen\steenal01,35,STL,C,55,7,10,17,7,12,1.4,7,0,0,0,9,1,0,71,9.9,772,14:02,47,26,8,7,53.3,Alex,Steen,537,569,48.6,-3.2,397,414,49.0,-2.6,11.0,90.9,101.9,47.7,52.3,11:18,16,12,1.8,115,61.7
Alex Tuch\tuchal01,23,VEG,RW,42,8,9,17,-10,8,1.1,5,3,0,2,5,4,0,98,8.2,614,14:37,20,58,8,20,28.6,Alex,Tuch,502,446,53.0,-3.0,370,333,52.6,-3.8,6.9,88.8,95.7,60.3,39.7,12:42,27,27,3.0,170,58.2
Alexander Edler\edleral01,33,VAN,D,59,5,28,33,13,62,5.8,4,1,0,1,22,6,0,118,4.2,1334,22:37,162,108,0,0,,Alexander,Edler,1101,1145,49.0,0.5,827,824,50.1,1.1,10.0,91.5,101.5,42.9,57.1,18:17,9,43,-1.1,259,45.6
Alexander Kerfoot\kerfoal01,25,TOR,C,65,9,19,28,-2,32,1.8,8,1,0,1,17,2,0,88,10.2,960,14:46,41,48,191,216,46.9,Alexander,Kerfoot,851,756,53.0,1.8,650,581,52.8,2.3,10.5,88.6,99.1,48.3,51.7,13:04,28,33,-3.5,152,57.9
Alexander Nylander\nylanal01,21,CHI,LW,65,10,16,26,-2,10,2.2,10,0,0,1,14,2,0,94,10.6,789,12:08,14,29,5,14,26.3,Alexander,Nylander,690,705,49.5,0.9,501,528,48.7,0.5,8.1,91.8,99.9,46.1,53.9,10:57,25,23,-1.6,151,62.3
Alexander Radulov\radulal01,33,DAL,RW,60,15,19,34,8,46,3.9,8,7,0,3,16,3,0,132,11.4,1005,16:45,42,48,4,10,28.6,Alexander,Radulov,859,781,52.4,4.0,646,574,53.0,4.8,7.7,94.1,101.8,61.3,38.7,14:04,26,44,8.7,218,60.6
Alexander True\trueal01,22,SJS,F,12,0,4,4,1,2,0.3,0,0,0,0,4,0,0,12,0.0,120,10:00,2,23,32,37,46.4,Alexander,True,119,98,54.8,3.7,92,76,54.8,3.2,9.4,91.5,100.9,58.6,41.4,9:29,2,5,1.6,18,66.7
Alexander Volkov\volkoal01,22,TBL,RW,9,0,1,1,-6,6,-0.3,0,0,0,0,1,0,0,7,0.0,92,10:16,2,10,1,3,25.0,Alexander,Volkov,73,71,50.7,-3.5,49,57,46.2,-8.7,3.0,82.9,86.0,55.9,44.1,10:16,4,2,-0.8,13,53.8
Alexander Wennberg\wennbal01,25,CBJ,C,57,5,17,22,-5,16,1.2,4,1,0,1,13,4,0,72,6.9,951,16:41,31,21,309,364,45.9,Alexander,Wennberg,647,674,49.0,1.7,512,500,50.6,1.5,6.3,91.7,98.0,47.2,52.8,12:58,20,25,0.8,111,64.9
Alexander Yelesin\yelesal01,23,CGY,D,4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2,0.0,50,12:30,0,13,0,0,,Alexander,Yelesin,43,40,51.8,-4.6,36,31,53.7,0.2,8.7,88.0,96.7,52.0,48.0,10:39,0,2,0.5,7,28.6
Alexandre Carrier\carrial01,23,NSH,D,3,0,0,0,2,2,0.2,0,0,0,0,0,0,0,4,0.0,32,10:47,0,3,0,0,,Alexandre,Carrier,39,24,61.9,18.6,31,19,62.0,19.1,9.1,100.0,109.1,57.7,42.3,10:41,0,0,1.5,4,100.0
Alexandre Texier\texieal01,20,CBJ,C,36,6,7,13,3,10,1.4,6,0,0,1,6,1,0,49,12.2,459,12:45,7,20,22,41,34.9,Alexandre,Texier,403,393,50.6,1.0,314,289,52.1,0.2,7.9,92.9,100.8,55.2,44.8,11:55,16,12,0.4,85,57.6
Anders Bjork\bjorkan01,23,BOS,LW,58,9,10,19,5,10,1.8,8,1,0,0,10,0,0,66,13.6,750,12:56,21,43,2,4,33.3,Anders,Bjork,583,599,49.3,-1.7,452,451,50.1,-0.6,7.6,93.4,100.9,54.5,45.5,12:04,21,14,4.3,134,49.3
Anders Lee\leean01,29,NYI,LW,68,20,23,43,8,47,4.7,18,2,0,6,18,5,0,195,10.3,1244,18:18,50,102,90,109,45.2,Anders,Lee,1145,1086,51.3,6.9,851,778,52.2,7.8,10.1,91.0,101.1,55.9,44.1,15:44,24,44,8.7,303,64.4
Andre Burakovsky\burakan01,24,COL,LW,58,20,25,45,11,22,5.4,18,2,0,6,16,9,0,103,19.4,882,15:12,34,26,5,9,35.7,Andre,Burakovsky,807,716,53.0,2.3,583,548,51.5,0.6,10.8,92.5,103.3,55.5,44.5,12:31,27,33,2.4,184,56.0
Andreas Englund\engluan01,24,OTT,D,24,0,3,3,-8,12,-0.1,0,0,0,0,3,0,0,10,0.0,262,10:54,16,58,0,0,,Andreas,Englund,189,213,47.0,-1.9,138,157,46.8,-1.5,4.0,88.7,92.7,65.3,34.7,9:35,4,5,-3.2,23,43.5
Andreas Johnsson\johnsan01,25,TOR,LW,43,8,13,21,0,14,1.6,4,4,0,1,12,1,0,78,10.3,677,15:45,21,43,0,2,0.0,Andreas,Johnsson,613,548,52.8,-0.5,444,422,51.3,-1.6,8.8,90.6,99.5,56.8,43.2,13:17,13,20,3.9,127,61.4
Andrei Chibisov\chibian01,26,WPG,F,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,15,7:27,1,1,0,0,,Andrei,Chibisov,7,14,33.3,-17.4,7,11,38.9,-10.8,0.0,100.0,100.0,50.0,50.0,7:27,0,0,-0.2,1,100.0
Andrei Svechnikov\svechan01,19,CAR,RW,68,24,37,61,9,54,6.9,18,6,0,5,23,14,0,183,13.1,1138,16:44,27,116,0,1,0.0,Andrei,Svechnikov,1034,800,56.4,3.1,791,630,55.7,3.1,10.8,89.1,100.0,54.1,45.9,13:44,29,66,11.1,320,57.2
Andrej Sekera\sekeran01,33,DAL,D,57,2,6,8,9,14,3.2,1,0,1,0,6,0,0,63,3.2,1026,18:00,75,34,0,0,,Andrej,Sekera,766,846,47.5,-2.7,575,616,48.3,-1.1,5.7,96.1,101.9,44.9,55.1,15:37,8,50,0.4,128,49.2
Andrew Cogliano\coglian01,32,DAL,LW,68,3,11,14,2,30,0.6,3,0,0,0,11,0,0,68,4.4,848,12:28,31,86,17,20,45.9,Andrew,Cogliano,632,633,50.0,0.5,450,471,48.9,-0.5,6.1,93.8,99.9,39.4,60.6,10:48,24,20,-2.2,105,64.8
Andrew Copp\coppan01,25,WPG,C,63,10,16,26,-3,10,1.6,9,1,0,5,13,0,3,121,8.3,1115,17:42,27,59,310,275,53.0,Andrew,Copp,857,820,51.1,2.2,625,642,49.3,1.2,6.7,91.9,98.6,50.5,49.5,14:13,38,27,-8.3,203,59.6
Andrew Ladd\laddan01,34,NYI,LW,4,1,0,1,2,4,0.2,1,0,0,0,0,0,0,5,20.0,48,11:58,0,23,0,0,,Andrew,Ladd,33,42,44.0,-9.2,27,35,43.5,-7.2,8.7,100.0,108.7,46.9,53.1,11:42,0,1,0.4,7,71.4
Andrew Mangiapane\mangian01,23,CGY,LW,68,17,15,32,4,18,3.8,17,0,0,2,14,1,0,109,15.6,932,13:42,25,73,12,31,27.9,Andrew,Mangiapane,931,815,53.3,4.0,706,622,53.2,4.8,10.0,90.4,100.4,46.1,53.9,12:54,38,29,5.0,205,53.2
Andrew Peeke\peekean01,21,CBJ,D,22,1,2,3,1,4,0.9,1,0,0,0,2,0,0,23,4.3,305,13:51,21,25,0,0,,Andrew,Peeke,269,259,50.9,-0.2,207,187,52.5,-0.3,7.2,92.8,99.9,53.2,46.8,13:14,3,8,1.6,53,43.4
Andrew Shaw\shawan01,28,CHI,C,26,3,7,10,-4,33,0.5,2,1,0,0,6,1,0,46,6.5,376,14:27,9,74,42,51,45.2,Andrew,Shaw,328,318,50.8,3.7,229,246,48.2,1.5,8.8,91.3,100.1,49.2,50.8,11:47,12,15,1.5,69,66.7
Andy Andreoff\andrean01,28,PHI,LW,14,0,1,1,-3,2,-0.2,0,0,0,0,1,0,0,14,0.0,119,8:32,4,20,4,4,50.0,Andy,Andreoff,99,100,49.7,-2.4,81,74,52.3,1.1,4.8,88.7,93.4,51.6,48.4,8:32,1,0,-0.8,19,73.7
Anthony Angello\angelan01,23,PIT,C,8,1,0,1,-1,4,0.1,1,0,0,0,0,0,0,5,20.0,46,5:43,5,13,0,1,0.0,Anthony,Angello,35,47,42.7,-2.8,28,36,43.8,-2.0,9.1,92.6,101.7,45.5,54.5,5:39,1,0,-0.5,7,71.4
Anthony Beauvillier\beauvan01,22,NYI,LW,68,18,21,39,-11,15,3.5,14,3,1,3,17,4,0,132,13.6,1174,17:16,36,86,9,4,69.2,Anthony,Beauvillier,899,1034,46.5,-0.3,674,765,46.8,-0.3,9.5,89.0,98.5,49.5,50.5,14:32,29,51,-0.4,235,56.2
Anthony Bitetto\bitetan01,29,WPG,D,51,0,8,8,3,32,1.7,0,0,0,0,7,0,1,54,0.0,773,15:10,50,145,0,0,,Anthony,Bitetto,563,633,47.1,-3.2,427,473,47.4,-1.4,10.2,92.2,102.4,54.3,45.7,12:54,16,22,-4.3,105,51.4
Anthony Cirelli\cirelan01,22,TBL,C,68,16,28,44,28,30,4.7,14,1,1,3,23,4,1,113,14.2,1255,18:28,47,89,434,480,47.5,Anthony,Cirelli,939,846,52.6,0.8,698,634,52.4,1.4,12.5,92.9,105.4,48.1,51.9,14:25,53,24,9.9,207,54.6
Anthony DeAngelo\deangan01,24,NYR,D,68,15,38,53,12,47,8.4,12,3,0,3,22,16,0,149,10.1,1312,19:17,57,48,0,0,,Anthony,DeAngelo,1048,1107,48.6,3.0,825,848,49.3,2.9,10.5,91.8,102.3,55.6,44.4,16:08,16,65,3.5,266,56.0
Anthony Duclair\duclaan01,24,OTT,LW,66,23,17,40,-5,18,4.5,16,5,2,2,14,3,0,184,12.5,1073,16:16,39,53,3,3,50.0,Anthony,Duclair,819,906,47.5,-0.9,616,691,47.1,-1.8,8.9,91.0,99.9,51.3,48.7,12:34,18,46,-2.0,314,58.6
Anthony Mantha\manthan01,25,DET,RW,43,16,22,38,-7,34,4.1,10,6,0,3,19,3,0,137,11.7,812,18:54,25,49,16,22,42.1,Anthony,Mantha,672,569,54.1,10.9,530,439,54.7,11.6,9.6,87.4,97.0,55.5,44.5,15:38,22,30,9.8,236,58.1
Anthony Richard\richaan01,23,NSH,C,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,2,0.0,4,4:10,0,0,0,0,,Anthony,Richard,4,5,44.4,-5.0,4,4,50.0,-3.0,0.0,75.0,75.0,100.0,0.0,4:10,0,0,-0.4,2,100.0
Antoine Roussel\roussan01,30,VAN,LW,41,7,6,13,0,43,1.2,6,1,0,1,5,1,0,55,12.7,485,11:50,14,44,6,6,50.0,Antoine,Roussel,404,459,46.8,0.1,322,339,48.7,1.3,10.6,91.2,101.8,52.2,47.8,10:30,7,13,-5.0,92,59.8
Anton Blidh\blidhan01,24,BOS,LW,7,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,9,0.0,81,11:31,5,20,0,1,0.0,Anton,Blidh,44,46,48.9,-6.2,34,38,47.2,-8.0,12.0,91.3,103.3,35.9,64.1,10:07,2,1,0.9,13,69.2
Anton Lindholm\lindhan01,25,COL,D,4,0,1,1,1,0,0.2,0,0,0,0,1,0,0,1,0.0,47,11:47,5,5,0,0,,Anton,Lindholm,40,46,46.5,-4.2,28,33,45.9,-3.6,13.0,92.6,105.6,43.2,56.8,11:24,0,0,0.7,4,25.0
Anton Stralman\stralan01,33,FLA,D,69,5,14,19,-6,14,2.6,5,0,0,3,13,0,1,89,5.6,1454,21:04,96,68,0,0,,Anton,Stralman,1137,1264,47.4,-3.7,869,943,48.0,-3.2,9.7,89.3,99.0,48.1,51.9,18:09,40,48,-6.6,168,53.0
Anton Wedin\wedinan01,26,CHI,F,4,0,0,0,1,4,0.0,0,0,0,0,0,0,0,2,0.0,36,9:04,1,5,0,0,,Anton,Wedin,22,23,48.9,-2.8,18,16,52.9,0.9,8.3,100.0,108.3,16.7,83.3,8:58,1,0,-0.3,3,66.7
Antti Suomela\suomean01,25,SJS,C,20,1,6,7,4,4,0.7,1,0,0,0,6,0,0,18,5.6,194,9:41,5,27,51,42,54.8,Antti,Suomela,165,185,47.1,-2.9,115,132,46.6,-3.2,11.9,93.6,105.5,46.7,53.3,9:16,6,4,1.4,29,62.1
Anze Kopitar\kopitan01,32,LAK,C,70,21,41,62,6,16,6.5,13,7,1,5,27,14,0,135,15.6,1473,21:02,56,49,777,631,55.2,Anze,Kopitar,1147,1016,53.0,-0.2,862,781,52.5,-0.4,9.4,90.5,99.9,49.5,50.5,16:22,39,49,0.6,243,55.6
Artem Anisimov\anisiar01,31,OTT,C,49,15,5,20,-15,8,1.9,10,5,0,1,4,1,0,87,17.2,679,13:51,25,6,185,185,50.0,Artem,Anisimov,549,616,47.1,-0.8,394,459,46.2,-2.0,7.3,90.2,97.5,53.4,46.6,12:01,19,16,-3.2,177,49.2
Artemi Panarin\panarar01,28,NYR,LW,69,32,63,95,36,20,11.4,25,7,0,4,46,17,0,209,15.3,1422,20:36,18,25,1,1,50.0,Artemi,Panarin,1159,1133,50.6,6.3,917,858,51.7,7.0,13.4,91.8,105.2,54.7,45.3,16:49,56,82,10.0,403,51.9
Artturi Lehkonen\lehkoar01,24,MTL,LW,70,13,14,27,2,24,2.4,12,0,1,1,14,0,0,140,9.3,1080,15:26,38,120,12,14,46.2,Artturi,Lehkonen,926,817,53.1,-2.0,651,612,51.5,-3.4,7.6,91.6,99.2,53.8,46.2,12:46,30,22,6.7,250,56.0
Ashton Sautner\sautnas01,25,VAN,D,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,3,2:49,0,0,0,0,,Ashton,Sautner,2,3,40.0,-11.9,1,3,25.0,-38.3,0.0,100.0,100.0,50.0,50.0,2:49,0,0,-0.3,1,100.0
Austin Czarnik\czarnau01,27,CGY,C,8,2,1,3,1,0,0.4,1,1,0,0,1,0,0,9,22.2,82,10:11,2,1,2,4,33.3,Austin,Czarnik,55,56,49.5,-5.5,41,50,45.1,-9.5,7.4,97.0,104.4,54.5,45.5,8:58,6,2,-0.8,13,69.2
Austin Poganski\poganau01,23,STL,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,6,5:54,0,0,0,0,,Austin,Poganski,1,6,14.3,-37.7,1,6,14.3,-39.8,0.0,100.0,100.0,50.0,50.0,5:54,0,0,-0.3,0,
Austin Wagner\wagneau01,22,LAK,LW,65,6,5,11,-5,39,0.4,6,0,0,0,5,0,0,124,4.8,763,11:45,19,145,3,6,33.3,Austin,Wagner,760,625,54.9,2.3,582,484,54.6,2.7,4.4,92.9,97.2,53.0,47.0,11:36,20,21,6.2,202,61.4
Austin Watson\watsoau01,28,NSH,LW,53,6,8,14,-9,65,0.6,6,0,0,1,6,0,2,50,12.0,616,11:37,48,131,6,6,50.0,Austin,Watson,419,586,41.7,-12.3,320,413,43.7,-10.2,9.4,88.4,97.7,29.9,70.1,10:20,18,20,-9.0,89,56.2
Auston Matthews\matthau01,22,TOR,C,70,47,33,80,19,8,10.8,35,12,0,5,20,13,0,290,16.2,1468,20:58,60,40,506,415,54.9,Auston,Matthews,1351,1154,53.9,3.2,1018,879,53.7,3.8,10.5,90.9,101.5,59.6,40.4,17:32,78,48,15.5,504,57.5
Barrett Hayton\haytoba01,19,ARI,C,20,1,3,4,2,14,0.3,1,0,0,1,3,0,0,27,3.7,223,11:09,3,14,23,38,37.7,Barrett,Hayton,204,232,46.8,-0.5,155,190,44.9,-2.0,6.9,95.7,102.6,59.4,40.6,10:39,8,4,-1.3,44,61.4
Beck Malenstyn\malenbe01,21,WSH,LW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,4,0.0,28,9:16,1,5,0,0,,Beck,Malenstyn,25,21,54.3,6.1,17,19,47.2,-0.5,0.0,90.0,90.0,20.0,80.0,7:48,1,0,-0.3,6,66.7
Ben Chiarot\chiarbe01,28,MTL,D,69,9,12,21,5,61,4.9,9,0,0,3,12,0,0,130,6.9,1596,23:08,128,152,0,0,,Ben,Chiarot,1482,1244,54.4,-0.5,1092,926,54.1,-0.1,8.0,90.9,98.9,49.3,50.7,19:40,18,86,11.9,294,44.2
Ben Hutton\huttobe01,26,LAK,D,65,4,12,16,5,14,4.0,4,0,0,1,12,0,0,114,3.5,1187,18:16,76,51,0,0,,Ben,Hutton,1166,935,55.5,3.6,869,717,54.8,3.0,7.3,91.3,98.6,46.9,53.1,16:43,12,41,6.6,224,50.9
Ben Street\streebe01,32,NJD,C,3,0,1,1,1,0,0.1,0,0,0,0,1,0,0,4,0.0,24,8:08,0,3,5,6,45.5,Ben,Street,12,23,34.3,-14.1,8,17,32.0,-17.4,16.7,100.0,116.7,40.0,60.0,5:30,0,0,-0.8,6,66.7
Blake Comeau\comeabl01,33,DAL,RW,55,8,8,16,-6,36,1.1,7,0,1,2,7,0,1,74,10.8,822,14:56,24,107,42,54,43.8,Blake,Comeau,586,615,48.8,-1.0,403,452,47.1,-3.1,5.9,92.0,97.9,34.9,65.1,12:33,21,27,-3.1,121,61.2
Blake Lizotte\lizotbl01,22,LAK,C,65,6,17,23,-4,20,1.5,2,2,2,0,15,1,1,87,6.9,907,13:58,22,42,312,310,50.2,Blake,Lizotte,797,650,55.1,2.3,599,486,55.2,3.0,5.2,91.6,96.8,54.6,45.4,11:50,22,21,8.2,158,55.1
Blake Wheeler\wheelbl01,33,WPG,RW,71,22,43,65,1,37,6.4,17,4,1,2,24,18,1,180,12.2,1372,19:19,51,102,325,327,49.8,Blake,Wheeler,1083,980,52.5,4.9,822,748,52.4,6.3,9.0,90.6,99.6,57.6,42.4,15:22,37,46,1.7,308,58.4
Bo Horvat\horvabo01,24,VAN,C,69,22,31,53,-15,21,4.6,10,12,0,2,27,4,0,178,12.4,1362,19:44,66,55,850,633,57.3,Bo,Horvat,1077,1090,49.7,1.9,800,801,50.0,1.3,9.1,89.0,98.1,44.0,56.0,15:24,28,27,-2.5,274,65.0
Bobby Ryan\ryanbo01,32,OTT,LW,24,5,3,8,3,22,0.9,5,0,0,0,3,0,0,43,11.6,324,13:31,13,41,3,2,60.0,Bobby,Ryan,282,248,53.2,4.8,200,184,52.1,2.7,9.0,93.2,102.2,57.2,42.8,10:48,12,18,-0.6,95,45.3
Boo Nieves\nievecr01,26,NYR,C,4,0,0,0,2,4,0.0,0,0,0,0,0,0,0,2,0.0,30,7:32,2,3,14,5,73.7,Boo,Nieves,16,26,38.1,-5.9,10,20,33.3,-11.2,28.6,100.0,128.6,25.0,75.0,6:54,1,0,-0.3,7,28.6
Boone Jenner\jennebo01,26,CBJ,C,70,11,13,24,-14,36,1.2,9,2,0,1,10,2,1,179,6.1,1268,18:07,80,109,644,523,55.2,Boone,Jenner,948,1084,46.7,-3.0,736,782,48.5,-2.8,6.0,91.6,97.7,45.9,54.1,14:17,24,28,-0.7,271,66.1
Brad Hunt\huntbr01,31,MIN,D,59,8,11,19,-7,6,2.8,5,3,0,0,4,7,0,106,7.5,893,15:08,39,12,0,0,,Brad,Hunt,714,718,49.9,0.7,541,525,50.8,1.8,7.9,90.3,98.2,52.4,47.6,12:38,15,14,3.8,183,57.9
Brad Marchand\marchbr03,31,BOS,LW,70,28,59,87,25,82,10.4,22,5,1,5,34,23,2,185,15.1,1362,19:27,19,55,22,29,43.1,Brad,Marchand,1059,840,55.8,7.3,798,629,55.9,7.4,12.6,89.6,102.2,61.3,38.7,14:04,43,71,9.5,301,61.5
Brad Richardson\richabr02,34,ARI,C,59,6,5,11,1,20,0.6,5,0,1,3,4,0,1,76,7.9,805,13:39,44,77,355,303,54.0,Brad,Richardson,535,724,42.5,-7.4,407,536,43.2,-6.5,7.6,92.8,100.4,29.5,70.5,10:54,12,18,-6.2,133,57.1
Brady Tkachuk\tkachbr01,20,OTT,LW,71,21,23,44,-14,106,3.9,19,2,0,3,17,6,0,259,8.1,1344,18:56,43,303,144,168,46.2,Brady,Tkachuk,1203,1151,51.1,4.1,917,872,51.3,4.0,7.5,90.6,98.1,53.3,46.7,15:46,35,40,6.4,432,60.2
