Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,First,Last,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
Scott Harrington\harrisc01,26,CBJ,D,39,1,7,8,-3,16,1.5,1,0,0,0,7,0,0,37,2.7,544,13:57,48,46,0,0,,Scott,Harrington,430,495,46.5,-2.4,346,359,49.1,-1.2,4.9,93.5,98.5,50.3,49.7,13:03,5,9,0.3,73,50.7
Scott Laughton\laughsc01,25,PHI,C,49,13,14,27,13,26,3.3,13,0,0,2,14,0,0,74,17.6,716,14:36,26,109,146,125,53.9,Scott,Laughton,523,598,46.7,-7.1,391,444,46.8,-6.7,12.0,92.1,104.1,43.7,56.3,12:43,22,21,0.3,122,60.7
Scott Mayfield\mayfisc01,27,NYI,D,67,5,8,13,8,53,3.9,5,0,0,1,6,0,2,98,5.1,1336,19:57,117,93,0,0,,Scott,Mayfield,1014,1134,47.2,0.9,734,832,46.9,-0.2,8.2,93.2,101.4,47.9,52.1,17:03,21,70,0.6,239,41.0
Scott Sabourin\sabousc01,27,OTT,F,35,2,4,6,-6,33,0.2,2,0,0,0,4,0,0,29,6.9,246,7:01,13,74,0,1,0.0,Scott,Sabourin,214,265,44.7,-5.5,158,185,46.1,-4.1,6.5,90.2,96.7,48.3,51.7,6:55,5,6,-4.0,49,59.2
Scott Wilson\wilsosc01,27,BUF,C,6,1,1,2,1,2,0.2,1,0,0,0,1,0,0,8,12.5,70,11:38,0,3,0,0,,Scott,Wilson,43,40,51.8,1.6,33,34,49.3,0.5,12.5,93.1,105.6,33.3,66.7,11:29,5,0,-0.7,12,66.7
Sean Couturier\coutuse01,27,PHI,C,69,22,37,59,21,30,6.6,18,4,0,4,28,9,0,185,11.9,1368,19:50,26,60,543,367,59.7,Sean,Couturier,1064,819,56.5,7.5,793,634,55.6,6.5,11.0,91.2,102.2,51.7,48.3,14:56,40,36,9.5,306,60.5
Sean Kuraly\kuralse01,27,BOS,C,69,6,17,23,-2,34,1.4,6,0,0,0,15,1,1,95,6.3,917,13:17,31,145,254,267,48.8,Sean,Kuraly,645,779,45.3,-6.8,507,597,45.9,-6.2,8.4,91.6,100.0,31.2,68.8,11:31,28,27,-4.8,166,57.2
Sean Monahan\monahse01,25,CGY,C,70,22,26,48,-16,25,4.6,14,8,0,5,18,8,0,166,13.3,1267,18:06,22,65,549,495,52.6,Sean,Monahan,1033,1018,50.4,-0.1,769,809,48.7,-1.3,9.1,89.9,99.0,58.0,42.0,14:54,43,36,1.8,276,60.1
Sean Walker\walkese01,25,LAK,D,70,5,19,24,-12,26,3.8,5,0,0,0,14,5,0,127,3.9,1319,18:50,84,81,0,0,,Sean,Walker,1293,1061,54.9,2.7,964,826,53.9,1.7,6.7,89.3,96.0,50.1,49.9,16:48,25,65,0.6,269,47.2
Sebastian Aho\ahose01,22,CAR,F,68,38,28,66,10,26,8.6,26,8,4,5,18,9,1,206,18.4,1321,19:25,20,55,409,480,46.0,Sebastian,Aho,1093,830,56.8,3.8,827,664,55.5,2.8,10.3,88.1,98.4,58.5,41.5,14:40,71,58,10.0,333,61.9
Seth Jones\jonesse01,25,CBJ,D,56,6,24,30,10,20,6.5,4,2,0,0,16,7,1,126,4.8,1416,25:17,123,62,0,0,,Seth,Jones,1046,1076,49.3,1.7,793,787,50.2,0.2,8.4,92.2,100.6,57.6,42.4,19:48,29,37,2.3,244,51.6
Shayne Gostisbehere\gostish01,26,PHI,D,42,5,7,12,-4,20,2.0,4,1,0,1,3,4,0,73,6.8,768,18:18,37,14,0,0,,Shayne,Gostisbehere,596,537,52.6,0.8,452,413,52.3,1.1,7.6,92.5,100.0,57.1,42.9,15:34,9,27,-2.3,148,49.3
Shea Theodore\theodsh01,24,VEG,D,71,13,33,46,12,25,8.1,11,1,1,4,18,15,0,219,5.9,1579,22:14,69,20,0,0,,Shea,Theodore,1513,1094,58.0,5.7,1163,852,57.7,4.9,7.3,91.6,98.9,58.7,41.3,18:56,55,54,27.7,442,49.5
Shea Weber\webersh01,34,MTL,D,65,15,21,36,8,33,7.3,12,3,0,2,16,5,0,185,8.1,1561,24:00,114,112,0,0,,Shea,Weber,1408,1159,54.9,0.0,1065,866,55.2,1.3,8.6,90.6,99.3,49.4,50.6,18:28,18,79,11.3,378,48.9
Sheldon Dries\driessh01,25,COL,C,5,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,2,0.0,34,6:52,2,16,4,2,66.7,Sheldon,Dries,22,33,40.0,-14.7,16,26,38.1,-16.4,0.0,89.5,89.5,73.7,26.3,6:50,0,1,-1.1,6,33.3
Sidney Crosby\crosbsi01,32,PIT,C,41,16,31,47,-8,15,4.7,12,4,0,4,18,13,0,109,14.7,831,20:16,17,28,494,394,55.6,Sidney,Crosby,708,612,53.6,4.3,546,467,53.9,4.0,8.4,89.0,97.3,62.6,37.4,16:05,26,25,6.4,163,66.9
Slater Koekkoek\koekksl01,25,CHI,D,42,1,9,10,3,42,1.9,1,0,0,1,9,0,0,47,2.1,704,16:45,58,64,0,0,,Slater,Koekkoek,629,572,52.4,4.1,464,421,52.4,4.5,7.6,92.7,100.4,46.7,53.3,15:23,9,27,2.1,117,40.2
Stefan Matteau\mattest02,25,CBJ,LW,9,2,1,3,0,5,0.4,2,0,0,0,1,0,0,18,11.1,111,12:22,10,27,0,0,,Stefan,Matteau,103,119,46.4,-1.8,84,87,49.1,0.1,8.1,91.5,99.6,45.5,54.5,11:58,2,1,-0.3,29,62.1
Stephen Johns\johnsst03,27,DAL,D,17,2,3,5,0,10,1.1,2,0,0,0,3,0,0,30,6.7,300,17:40,20,50,0,0,,Stephen,Johns,260,253,50.7,-0.7,183,187,49.5,-2.0,8.5,92.9,101.3,53.0,47.0,16:55,5,11,-1.6,65,46.2
Steven Fogarty\fogarst01,26,NYR,C,7,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,41,5:53,4,4,6,3,66.7,Steven,Fogarty,31,36,46.3,-5.4,18,23,43.9,-8.0,0.0,92.9,92.9,58.6,41.4,5:42,2,2,-0.7,4,50.0
Steven Kampfer\kampfst01,31,BOS,D,10,0,2,2,2,2,0.5,0,0,0,0,0,2,0,13,0.0,136,13:38,8,15,0,0,,Steven,Kampfer,112,111,50.2,0.5,81,78,50.9,1.0,8.6,94.0,102.6,60.3,39.7,12:49,4,1,0.9,28,46.4
Steven Santini\santist01,24,NSH,D,2,0,0,0,1,2,0.1,0,0,0,0,0,0,0,1,0.0,19,9:33,0,3,0,0,,Steven,Santini,15,11,57.7,-9.0,13,8,61.9,-6.6,28.6,85.7,114.3,60.0,40.0,9:16,0,0,0.2,2,50.0
Steven Stamkos\stamkst01,29,TBL,C,57,29,37,66,14,22,8.1,19,10,0,6,28,9,0,176,16.5,1050,18:25,38,69,365,307,54.3,Steven,Stamkos,838,781,51.8,-0.8,626,608,50.7,-1.6,13.4,89.6,103.0,57.6,42.4,14:28,24,33,6.1,319,55.2
Sven Baertschi\baertsv01,27,VAN,LW,6,0,2,2,-2,4,0.0,0,0,0,0,0,2,0,7,0.0,71,11:49,0,5,0,0,,Sven,Baertschi,72,41,63.7,11.8,49,32,60.5,9.8,0.0,92.0,92.0,55.9,44.1,10:13,1,1,0.4,15,46.7
T.J. Brodie\broditj01,29,CGY,D,64,4,15,19,7,36,4.3,4,0,0,1,14,1,0,65,6.2,1309,20:27,87,20,0,0,,T.J.,Brodie,1160,1054,52.4,3.6,845,805,51.2,2.8,10.0,91.2,101.3,48.8,51.2,17:46,34,52,3.2,165,39.4
T.J. Oshie\oshietj01,33,WSH,C,69,26,23,49,4,26,5.5,16,10,0,4,21,2,0,133,19.5,1262,18:18,58,90,119,119,50.0,T.J.,Oshie,984,954,50.8,-1.9,770,720,51.7,-0.5,12.0,89.6,101.6,51.5,48.5,14:26,42,45,-1.1,249,53.8
T.J. Tynan\tynant.01,27,COL,C,16,0,1,1,-1,2,-0.2,0,0,0,0,1,0,0,7,0.0,136,8:28,3,7,3,15,16.7,T.J.,Tynan,100,116,46.3,-2.6,70,76,47.9,-0.8,3.4,94.4,97.9,55.1,44.9,7:54,5,0,-1.4,13,53.8
Tage Thompson\thompta01,22,BUF,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,7,6:59,0,2,0,0,,Tage,Thompson,7,6,53.8,1.5,5,4,55.6,7.6,0.0,100.0,100.0,66.7,33.3,6:59,1,0,0.0,2,0.0
Tanner Pearson\pearsta01,27,VAN,LW,69,21,24,45,-4,27,4.5,16,3,2,3,16,7,1,164,12.8,1139,16:31,40,96,3,14,17.6,Tanner,Pearson,915,966,48.6,0.3,683,725,48.5,-0.8,8.4,91.2,99.6,46.5,53.5,13:42,37,33,-7.5,255,64.3
Taro Hirose\hirosta01,23,DET,LW,26,2,5,7,-12,6,0.0,2,0,0,0,0,5,0,21,9.5,326,12:33,16,13,0,5,0.0,Taro,Hirose,201,255,44.1,-3.6,156,189,45.2,-2.6,3.4,89.9,93.4,49.2,50.8,10:04,6,20,-5.2,39,53.8
Taylor Fedun\fedunta01,31,DAL,D,27,2,7,9,3,8,1.9,2,0,0,0,7,0,0,40,5.0,371,13:45,19,16,0,0,,Taylor,Fedun,336,323,51.0,3.5,259,251,50.8,3.2,8.2,92.6,100.8,55.5,44.5,13:15,2,12,2.7,82,48.8
Teddy Blueger\bluegte01,25,PIT,C,69,9,13,22,2,25,1.4,9,0,0,2,11,0,2,102,8.8,1091,15:49,35,83,402,489,45.1,Teddy,Blueger,753,740,50.4,-0.7,551,563,49.5,-2.7,7.1,92.4,99.5,30.2,69.8,13:17,29,22,-2.0,157,65.0
Teuvo Teravainen\teravte01,25,CAR,F,68,15,48,63,20,8,6.4,10,4,1,1,28,17,3,182,8.2,1305,19:12,30,18,26,27,49.1,Teuvo,Teravainen,1076,788,57.7,5.1,812,624,56.5,4.3,10.4,90.2,100.6,56.0,44.0,14:19,44,44,10.5,317,57.4
Thomas Chabot\chaboth01,23,OTT,D,71,6,33,39,-18,42,4.6,6,0,0,0,22,11,0,186,3.2,1846,26:00,85,79,0,0,,Thomas,Chabot,1587,1557,50.5,3.9,1177,1191,49.7,2.0,7.9,90.2,98.1,48.0,52.0,22:14,42,87,1.3,391,47.6
